com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,2248,f1ad21f8-f360-430f-b5ea-3cec4f5e8799.binning_data.json,1265479,6000,,2,2020-01-12 18:30:01.608,com.sec.android.app.shealth,2020-01-12 18:30:01.608,,2.2703805,1765.66,92.51999,2246,NCYwqyvfDX,com.sec.android.app.shealth,0,f1ad21f8-f360-430f-b5ea-3cec4f5e8799.achievement.json,f1ad21f8-f360-430f-b5ea-3cec4f5e8799,1578787200000,
,1791,4e45d156-181f-4f68-9c4d-0862d661468c.binning_data.json,1036692,6000,,6,2020-04-04 18:28:36.571,com.sec.android.app.shealth,2020-04-03 19:05:10.797,4e45d156-181f-4f68-9c4d-0862d661468c.source_info.json,1.3447574,1394.1001,74.439995,1785,VfS0qUERdZ,com.sec.android.app.shealth,0,4e45d156-181f-4f68-9c4d-0862d661468c.achievement.json,4e45d156-181f-4f68-9c4d-0862d661468c,1585958400000,
,1302,27b9f0e8-3709-427d-b18c-1796568d738d.binning_data.json,267483,6000,,0,2019-06-30 18:30:00.729,com.sec.android.app.shealth,2019-06-30 18:30:00.729,,1.7777778,343.79,53.84,1302,NCYwqyvfDX,com.sec.android.app.shealth,0,27b9f0e8-3709-427d-b18c-1796568d738d.achievement.json,27b9f0e8-3709-427d-b18c-1796568d738d,1561852800000,
,1956,3db49982-523f-4f18-9bdf-3da741a8c375.binning_data.json,1170644,6000,,0,2020-02-09 18:30:01.456,com.sec.android.app.shealth,2020-02-09 18:30:01.456,,1.7983387,1461.28,114.77999,1956,NCYwqyvfDX,com.sec.android.app.shealth,0,3db49982-523f-4f18-9bdf-3da741a8c375.achievement.json,3db49982-523f-4f18-9bdf-3da741a8c375,1581206400000,
,10288,d4026b6d-b118-4f4c-8545-d3b6029ed357.binning_data.json,2932212,6000,,47,2019-08-20 18:19:52.941,com.sec.android.app.shealth,2019-08-19 18:38:23.828,d4026b6d-b118-4f4c-8545-d3b6029ed357.source_info.json,1.1809546,3462.8105,619.64984,10241,VfS0qUERdZ,com.sec.android.app.shealth,0,d4026b6d-b118-4f4c-8545-d3b6029ed357.achievement.json,d4026b6d-b118-4f4c-8545-d3b6029ed357,1566259200000,
,8016,dc10a5bc-fa41-4c3f-b8b0-b6fdad95635f.binning_data.json,4756994,6000,,0,2020-02-24 18:30:01.187,com.sec.android.app.shealth,2020-02-24 18:30:01.187,,1.9500636,6008.29,471.04993,8016,NCYwqyvfDX,com.sec.android.app.shealth,0,dc10a5bc-fa41-4c3f-b8b0-b6fdad95635f.achievement.json,dc10a5bc-fa41-4c3f-b8b0-b6fdad95635f,1582502400000,
,4325,0442da46-ff0e-4e2c-8b47-54811c6aba63.binning_data.json,1258649,6000,,4,2019-06-25 18:30:01.566,com.sec.android.app.shealth,2019-06-25 18:30:01.566,,2.2414663,1531.9698,174.46997,4321,NCYwqyvfDX,com.sec.android.app.shealth,0,0442da46-ff0e-4e2c-8b47-54811c6aba63.achievement.json,0442da46-ff0e-4e2c-8b47-54811c6aba63,1561420800000,
,3623,1bb3f249-7bb5-4801-abbb-8ef45030fd71.binning_data.json,2180967,6000,,8,2019-12-19 18:30:01.403,com.sec.android.app.shealth,2019-12-19 18:30:01.403,,2.0277777,2799.3,150.31,3615,NCYwqyvfDX,com.sec.android.app.shealth,0,1bb3f249-7bb5-4801-abbb-8ef45030fd71.achievement.json,1bb3f249-7bb5-4801-abbb-8ef45030fd71,1576713600000,
,3036,a58393c0-d9d5-4efb-85a5-9537e57faba7.binning_data.json,1775880,6000,,0,2020-02-02 17:53:37.283,com.sec.android.app.shealth,2020-02-01 18:35:36.393,a58393c0-d9d5-4efb-85a5-9537e57faba7.source_info.json,1.2860832,2283.93,179.30998,3036,VfS0qUERdZ,com.sec.android.app.shealth,0,a58393c0-d9d5-4efb-85a5-9537e57faba7.achievement.json,a58393c0-d9d5-4efb-85a5-9537e57faba7,1580601600000,
,4649,93e6b392-8da7-4af7-b62b-8c24f3d290b4.binning_data.json,2781980,6000,,43,2019-12-20 18:20:24.502,com.sec.android.app.shealth,2019-12-19 18:30:09.663,93e6b392-8da7-4af7-b62b-8c24f3d290b4.source_info.json,1.2867236,3579.6401,255.10999,4606,VfS0qUERdZ,com.sec.android.app.shealth,0,93e6b392-8da7-4af7-b62b-8c24f3d290b4.achievement.json,93e6b392-8da7-4af7-b62b-8c24f3d290b4,1576800000000,
