com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-03-09 05:00:00.000,,2025-03-09 17:52:32.722,2025-03-09 17:52:32.722,,,1.0,8edc03f1-9d5d-46e0-927a-f9a076ce7c53.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-09 17:50:42.001,8edc03f1-9d5d-46e0-927a-f9a076ce7c53,
2025-03-09 17:50:42.001,,2025-03-09 21:30:50.594,2025-03-09 21:30:50.594,,,1.0,8d890504-9004-404a-b9df-0c966b8f63b9.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-09 21:29:20.001,8d890504-9004-404a-b9df-0c966b8f63b9,
2025-03-09 21:29:20.001,,2025-03-09 23:59:07.242,2025-03-09 23:59:07.242,,,1.0,ef67d711-e3a4-4d9d-875a-88ceb4fa0e7d.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-09 23:56:42.001,ef67d711-e3a4-4d9d-875a-88ceb4fa0e7d,
2025-03-11 11:48:15.794,,2025-03-11 15:48:22.484,2025-03-11 15:47:18.019,,,2.0,61936df5-08cc-410f-94ee-7b0ec5df69d7.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-11 15:47:14.000,61936df5-08cc-410f-94ee-7b0ec5df69d7,
2025-03-11 15:47:14.000,,2025-03-11 17:21:32.870,2025-03-11 17:21:32.870,,,1.0,92e1a171-fca7-45da-a29c-92a2685dc5be.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-11 17:21:00.000,92e1a171-fca7-45da-a29c-92a2685dc5be,
2025-03-11 17:21:00.000,,2025-03-11 17:23:34.306,2025-03-11 17:23:34.306,,,1.0,366dd2c5-2da2-4d0d-960a-640510474d67.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-11 17:23:06.000,366dd2c5-2da2-4d0d-960a-640510474d67,
2025-03-11 17:23:06.000,,2025-03-11 22:02:10.598,2025-03-11 22:02:10.598,,,1.0,bd9f2da8-0e8e-4863-975b-525006997856.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-11 22:00:06.000,bd9f2da8-0e8e-4863-975b-525006997856,
2025-03-12 04:00:00.000,,2025-03-12 13:50:19.310,2025-03-12 13:50:19.236,,,2.0,8a0e31a8-31cb-4326-9097-5c22c09d368c.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-12 13:49:14.999,8a0e31a8-31cb-4326-9097-5c22c09d368c,
2025-03-12 13:49:14.999,,2025-03-12 15:26:24.960,2025-03-12 15:26:24.960,,,1.0,0bca8a19-4e73-4c84-b6b3-5214ce7ff5bf.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-12 15:25:41.000,0bca8a19-4e73-4c84-b6b3-5214ce7ff5bf,
2025-03-12 15:25:40.755,,2025-03-12 20:16:28.091,2025-03-12 20:16:28.091,,,1.0,55a56bec-451a-4dcc-ad4a-6c951c10b34e.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-12 20:16:01.999,55a56bec-451a-4dcc-ad4a-6c951c10b34e,
2025-03-12 20:16:02.000,,2025-03-12 22:39:33.722,2025-03-12 22:39:33.722,,,1.0,970e57f6-6f70-4f9c-ab44-4841e51f4fc1.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-12 22:34:13.001,970e57f6-6f70-4f9c-ab44-4841e51f4fc1,
2025-03-12 22:34:13.000,,2025-03-12 22:39:33.771,2025-03-12 22:39:33.771,,,1.0,0072f559-58f3-472a-a8de-be136e5aa2cb.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-12 22:35:24.000,0072f559-58f3-472a-a8de-be136e5aa2cb,
2025-03-13 15:23:24.831,,2025-03-13 18:10:03.018,2025-03-13 18:10:03.018,,,1.0,b1b5302c-a3ef-442c-ba2e-17db499ad3b6.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-13 18:09:54.001,b1b5302c-a3ef-442c-ba2e-17db499ad3b6,
2025-03-13 18:09:54.001,,2025-03-13 21:50:19.038,2025-03-13 21:50:18.949,,,2.0,98e0e698-641e-4de9-98d7-8837c84b3bf8.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-13 21:50:07.001,98e0e698-641e-4de9-98d7-8837c84b3bf8,
2025-03-13 21:50:08.218,,2025-03-14 00:30:48.666,2025-03-14 00:30:48.666,,,1.0,6fa7334e-d8ab-4699-97a0-7b6f5dbd1b02.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-14 00:30:30.999,6fa7334e-d8ab-4699-97a0-7b6f5dbd1b02,
2025-03-14 13:55:30.086,,2025-03-14 14:13:48.263,2025-03-14 14:13:48.263,,,1.0,7da87db0-70ff-46d6-ba52-703fae76e503.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-14 14:12:02.001,7da87db0-70ff-46d6-ba52-703fae76e503,
2025-03-14 14:12:02.000,,2025-03-14 14:22:17.699,2025-03-14 14:22:17.699,,,1.0,f73edddc-1185-49eb-a214-aa8c6e857ed2.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-14 14:18:53.000,f73edddc-1185-49eb-a214-aa8c6e857ed2,
2025-03-15 18:35:48.529,,2025-03-16 00:37:30.751,2025-03-16 00:37:30.751,,,1.0,fce4db3a-c55d-40c6-b27e-890658cac632.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-16 00:36:55.000,fce4db3a-c55d-40c6-b27e-890658cac632,
2025-03-16 04:00:00.000,,2025-03-16 17:24:41.658,2025-03-16 17:24:41.611,,,2.0,85852c42-88cb-480e-a337-d1c520e5d7f4.raw_data.json,UTC-0400,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-16 17:24:05.001,85852c42-88cb-480e-a337-d1c520e5d7f4,
