com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63020270,7ad826eb-bb32-43f4-ad7f-b25479e1c4ef.binning_data.json,63020310,2025-07-17 13:52:20.616,2025-07-09 19:59:48.797,3,2,ZYfDZ77fyr,com.sec.android.app.shealth,7ad826eb-bb32-43f4-ad7f-b25479e1c4ef,1751760000000,
63020270,64aa9ae9-41fb-4fdf-956d-eb529d750c2c.binning_data.json,63020310,2025-07-17 13:52:20.984,2025-07-09 19:59:49.034,1,2,ZYfDZ77fyr,com.sec.android.app.shealth,64aa9ae9-41fb-4fdf-956d-eb529d750c2c,1751587200000,
63020270,0a46595e-b508-4ae1-9d9f-ab126d462ca3.binning_data.json,63020310,2025-07-17 13:52:21.165,2025-07-09 19:59:49.170,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,0a46595e-b508-4ae1-9d9f-ab126d462ca3,1751673600000,
63020270,0c1b63ae-26ab-490e-952f-70d75f3f3fd4.binning_data.json,63020310,2025-07-17 13:52:21.485,2025-07-09 19:59:49.317,10,2,ZYfDZ77fyr,com.sec.android.app.shealth,0c1b63ae-26ab-490e-952f-70d75f3f3fd4,1751846400000,
63020270,b0bc4e19-3be3-4003-a439-fc62b53d3930.binning_data.json,63020310,2025-07-17 13:52:21.644,2025-07-09 19:59:49.351,8,2,ZYfDZ77fyr,com.sec.android.app.shealth,b0bc4e19-3be3-4003-a439-fc62b53d3930,1751414400000,
63020270,c7c06c4c-7fc5-4a81-881f-7c05855a7f61.binning_data.json,63020310,2025-07-17 13:52:20.328,2025-07-09 19:59:49.411,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,c7c06c4c-7fc5-4a81-881f-7c05855a7f61,1751932800000,
63020310,fec39f11-18dc-40e1-81d2-e6491ae9f06a.binning_data.json,63030110,2025-08-08 04:32:15.175,2025-07-15 18:00:33.686,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,fec39f11-18dc-40e1-81d2-e6491ae9f06a,1752364800000,
63020310,1d367baa-78af-4b80-b963-4568bbd423ae.binning_data.json,63030110,2025-08-11 00:05:34.209,2025-07-15 18:00:33.800,2,2,ZYfDZ77fyr,com.sec.android.app.shealth,1d367baa-78af-4b80-b963-4568bbd423ae,1752451200000,
63020310,f463bc23-2103-4fbe-aaaa-1f2482d43b12.binning_data.json,63030110,2025-08-08 04:32:15.576,2025-07-15 18:00:34.278,4,2,ZYfDZ77fyr,com.sec.android.app.shealth,f463bc23-2103-4fbe-aaaa-1f2482d43b12,1752278400000,
63020310,ee5779ec-fffa-44f8-ae85-464d5a466c9f.binning_data.json,63030110,2025-08-11 00:05:34.265,2025-07-15 18:00:34.462,6,2,ZYfDZ77fyr,com.sec.android.app.shealth,ee5779ec-fffa-44f8-ae85-464d5a466c9f,1752537600000,
